Datetime,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Sector,Percent Change,SMA_20,SMA_50,Buy RSI,Sell RSI,Price Change,Gain,Loss,Avg Gain,Avg Loss,RS,RSI,Middle Band,Standard Deviation,Upper Band,Lower Band,EMA_20,EMA_50,MACD,MACD Line,MFM,MFV,CMF,Low_min,High_max,%K,%D,Signal,SMA_Signal,RSI_Signal,BB_Signal,CMF_Signal,STO_Signal,Total Percent Change
2024-01-02 09:30:00-05:00,VOO,434.2300109863281,434.4599914550781,433.1600036621094,433.5299987792969,1723310,0.0,0.0,0.0,,,,,25,90,,0.0,-0.0,,,,,,,,,433.5299987792969,433.5299987792969,0.0,0.0,-0.4307713977182027,-742352.6574017559,,,,,,0,0,0,0,0,0,
2024-01-02 10:30:00-05:00,VOO,433.510009765625,434.1499938964844,433.1000061035156,434.0499877929688,1340688,0.0,0.0,0.0,,0.11994302934885681,,,25,90,0.5199890136719318,0.5199890136719318,-0.0,,,,,,,,,433.5795215425037,433.55039050532326,0.05189079554310183,0.010378159108620368,0.8095099691915284,1085300.3015754519,,,,,,0,0,0,0,0,0,
2024-01-02 11:30:00-05:00,VOO,434.0400085449219,435.0,434.010009765625,434.6600036621094,1436688,0.0,0.0,0.0,,0.14054046453091384,,,25,90,0.6100158691405682,0.6100158691405682,-0.0,,,,,,,,,433.68242460151373,433.5939047467659,0.15386824839271185,0.039076176965438664,0.31313193588162763,449872.89469790383,0.17615548804595563,,,,,0,0,0,0,-1,0,
2024-01-02 12:30:00-05:00,VOO,434.6391906738281,435.2699890136719,434.0199890136719,434.3599853515625,419232,0.0,0.0,0.0,,-0.06902367552090727,,,25,90,-0.300018310546875,0.0,0.300018310546875,,,,,,,,,433.74695419675646,433.62394712342456,0.20427358612096214,0.07211565879654336,-0.456005859375,-191172.2484375,0.4204459689257662,,,,,0,0,0,0,-1,0,
2024-01-02 13:30:00-05:00,VOO,434.3399963378906,434.6099853515625,433.3399963378906,433.6799926757813,423996,0.0,0.0,0.0,,-0.15655048777820646,,,25,90,-0.6799926757811932,0.0,0.6799926757811932,,,,,,,,,433.74057690904453,433.62614498822285,0.17506217706363714,0.09270496244996212,-0.4645680643997663,-196975.00103324332,0.027073648865642643,,,,,0,0,0,0,1,0,
2024-01-02 14:30:00-05:00,VOO,433.7300109863281,433.7987976074219,432.3599853515625,432.739990234375,591492,0.0,0.0,0.0,,-0.216750243793018,,,25,90,-0.9400024414063068,0.0,0.9400024414063068,,,,,,,,,433.6452829400284,433.5913938214053,0.05642026774376063,0.08544802350872183,-0.4717797526884001,-279053.94947716716,-0.4650393100729832,,,,,0,0,0,0,1,0,
2024-01-02 15:30:00-05:00,VOO,432.75,434.3500061035156,432.5299987792969,434.3200073242188,777395,0.0,0.0,0.0,,0.3651192691916494,,,25,90,1.5800170898438068,1.5800170898438068,-0.0,,,,,,,,,433.7095424051894,433.619966899947,0.11866144061986006,0.09209070693094948,0.9670344411282022,751767.7393608588,0.15379630954749882,,,,,0,0,0,0,-1,0,
2024-01-03 09:30:00-05:00,VOO,432.3450012207031,432.7799987792969,431.2099914550781,431.4700012207031,1229674,0.0,0.0,0.0,,-0.6561995891172789,,,25,90,-2.850006103515682,0.0,2.850006103515682,,,,,,,,,433.4962527685716,433.5356545203688,-0.11691462419088339,0.0502896407065829,-0.6687789138125413,-822380.0420635229,-0.1345614946810297,,,,,0,0,0,0,1,0,
2024-01-03 10:30:00-05:00,VOO,431.4500122070313,431.8399963378906,430.730712890625,431.6314086914063,585693,0.0,0.0,0.0,,0.03740873531103972,,,25,90,0.16140747070318184,0.16140747070318184,-0.0,,,,,,,,,433.3186485707463,433.46097821335064,-0.28839397525445065,-0.017447082485623808,0.62392362926088,365427.70219269255,0.11370708128629951,,,,,0,0,0,0,-1,0,
2024-01-03 11:30:00-05:00,VOO,431.6000061035156,431.739990234375,430.9631042480469,431.5199890136719,628034,0.0,0.0,0.0,,-0.025813616778314064,,,25,90,-0.11141967773443184,0.0,0.11141967773443184,0.2871429443359489,0.4881439208984489,0.5882341908661908,37.03699330042629,,,,,433.1473476605487,433.38486098983384,-0.43436927419367066,-0.10083152082723318,0.4336331853714106,272336.38394154847,-0.07555696176324796,,,,,0,0,0,0,1,0,
2024-01-03 12:30:00-05:00,VOO,431.5698852539063,432.6300048828125,431.3999938964844,432.2200012207031,561216,0.0,0.0,0.0,,0.16222011143245396,,,25,90,0.70001220703125,0.70001220703125,-0.0,0.35714416503907387,0.4881439208984489,0.7316370229127004,42.251176963290504,,,,,433.059028951992,433.33918021457384,-0.4777423034187791,-0.17621367734554239,0.3333333333333333,187072.0,0.46471130967824936,,,,,0,0,0,0,-1,0,
2024-01-03 13:30:00-05:00,VOO,432.239990234375,432.989990234375,430.9500122070313,432.7799987792969,525253,0.0,0.0,0.0,,0.12956308292355612,,,25,90,0.55999755859375,0.55999755859375,-0.0,0.36114501953125566,0.4881439208984489,0.7398330780531969,42.52322176108068,,,,,433.0324546498306,433.3172515308375,-0.4526025201038806,-0.23149144589721005,0.7941238069592738,417115.9119767794,0.5112410394839366,,,,,0,0,0,0,-1,0,
2024-01-03 14:30:00-05:00,VOO,432.80999755859375,433.0,430.9500122070313,431.239990234375,592376,0.0,0.0,0.0,,-0.3558409698381726,,,25,90,-1.540008544921875,0.0,1.540008544921875,0.3001434326171989,0.6421447753906364,0.4674077312777518,31.85261473787891,,,,,432.86174375312055,433.2357903035253,-0.5823970803940597,-0.30167257279658,-0.7170929228571054,-424788.63727040065,0.10685874795253805,,,,,0,0,0,0,-1,0,
2024-01-03 15:30:00-05:00,VOO,431.2300109863281,431.6838989257813,430.25,430.7699890136719,510082,0.0,0.0,0.0,,-0.10898832004139214,,,25,90,-0.470001220703125,0.0,0.470001220703125,0.3001434326171989,0.6591430664062614,0.45535400114822133,31.28819522871848,,,,,432.6625290160302,433.1390922137271,-0.7283458870134041,-0.3870072356399448,-0.2747201294002756,-140129.7930447514,-0.09080390704392408,430.25,435.2699890136719,10.358369555305632,,0,0,0,0,1,0,
2024-01-04 09:30:00-05:00,VOO,430.3299865722656,432.0097961425781,430.1900024414063,431.7174072265625,919160,0.0,0.0,0.0,,0.21993598371601308,,,25,90,0.947418212890625,0.947418212890625,-0.0,0.3948852539062614,0.591143798828142,0.6680020236853789,40.04803436685629,,,,,432.5725174170333,433.0833398612893,-0.744563834584369,-0.4585185554288297,0.6786570743405176,623794.4364508302,0.029123210287837837,430.1900024414063,435.2699890136719,30.06710280486042,,0,0,0,0,1,0,
